Wavelength. Âµm	n
0.23	1.4757545687563
0.2388	1.4717134498556
0.2479	1.4680703325945
0.2573	1.4647802468355
0.2671	1.4617752356371
0.2773	1.4590314071886
0.2879	1.4565263029945
0.2989	1.4542389840292
0.3103	1.4521500534234
0.3221	1.4502416346375
0.3344	1.4484838794009
0.3471	1.446878284968
0.3604	1.4453894916648
0.3741	1.4440303606529
0.3884	1.4427716786381
0.4032	1.4416149797532
0.4185	1.4405518030907
0.4345	1.4395625745616
0.4511	1.4386489488447
0.4683	1.4378053494178
0.4861	1.4370264020512
0.5046	1.4363032830916
0.5239	1.4356289978914
0.5439	1.435003868338
0.5646	1.4344241761588
0.5861	1.4338839566085
0.6085	1.4333783644599
0.6317	1.432907271287
0.6558	1.4324662215196
0.6808	1.4320530891695
0.7067	1.4316657418915
0.7337	1.4312994883575
0.7616	1.4309553221637
0.7907	1.4306279503907
0.8208	1.4303181787563
0.8521	1.4300224589774
0.8846	1.4297395295789
0.9183	1.4294680915517
0.9533	1.4292061091373
0.9897	1.4289517355129
1.027	1.4287070826478
1.067	1.4284596917123
1.107	1.4282251125412
1.149	1.4279901070912
1.193	1.4277539951434
1.239	1.4275159682701
1.286	1.4272800665752
1.335	1.4270401264115
1.386	1.4267951726961
1.439	1.426544170822
1.494	1.4262860387594
1.551	1.4260196567382
1.61	1.4257438748055
1.671	1.425457518555
1.735	1.4251546364421
1.801	1.4248386484057
1.87	1.4245033839031
1.941	1.4241522750643
2.015	1.4237788911039
2.092	1.4233815331372
2.171	1.4229637748915
2.254	1.4225131896109
2.34	1.4220330592515
2.429	1.4215213697513
2.522	1.4209700121767
2.618	1.4203824531652
2.718	1.4197499943053
2.822	1.4190696267102
2.929	1.4183450839471
3.041	1.4175595294726
3.157	1.4167161588649
3.277	1.4158113594247
3.402	1.4148333905086
3.532	1.4137774016312
3.667	1.4126382844935
3.806	1.4114196011391
3.951	1.4100981793897
4.102	1.4086670111053
4.259	1.4071186758704
4.421	1.4054557926089
4.589	1.4036604466863
4.764	1.4017125516286
4.946	1.3996014333605
5.135	1.3973157272389
5.33	1.3948562106319
5.534	1.3921713448443
5.745	1.3892719821937
5.964	1.3861286863719
6.191	1.3827236899494
6.427	1.3790218644678
6.672	1.375000429704
6.927	1.3706171517133
7.191	1.3658612155706
7.465	1.3606841131473
7.749	1.3550512108746
8.045	1.348881869146
8.352	1.3421502534404
8.67	1.3348064605347
9.001	1.3267451718594
9.344	1.317922827393
9.7	1.3082374669746
